url, time, page_size, depth, page_status
https://www.healthpoint.co.nz/specialised-primary-health-care/, 01:18:38 09/27/2024, 50871, 1, 200
https://www.queenstownnz.co.nz/plan/services/professional-services/creative-services/, 01:18:39 09/27/2024, 281510, 1, 200
https://www.westpac.co.nz/about-us/legal-information-privacy/changes-to-westpac-terms-and-conditions/, 01:18:41 09/27/2024, 327795, 1, 200
https://www.westpac.co.nz/about-us/legal-information-privacy/, 01:18:42 09/27/2024, 71910, 1, 200
https://www.queenstownnz.co.nz/plan/services/professional-services/employment-agencies/, 01:18:42 09/27/2024, 283522, 1, 200
https://www.westpac.co.nz/about-us/investor-centre/, 01:18:43 09/27/2024, 68745, 1, 200
https://www.westpac.co.nz/about-us/accessible-banking/, 01:18:45 09/27/2024, 67706, 1, 200
https://www.healthpoint.co.nz/private/, 01:18:48 09/27/2024, 29396, 1, 200
https://www.queenstownnz.co.nz/plan/services/professional-services/accountants-and-law-firms/, 01:18:48 09/27/2024, 281623, 1, 200
https://www.westpac.co.nz/about-us/legal-information-privacy/disclosure-statements/, 01:18:50 09/27/2024, 70926, 1, 200
https://www.westpac.co.nz/about-us/careers/, 01:18:51 09/27/2024, 102225, 1, 200
https://www.queenstownnz.co.nz/plan/services/event-services/bands-and-entertainment/, 01:18:51 09/27/2024, 281407, 1, 200
https://www.westpac.co.nz/about-us/, 01:18:53 09/27/2024, 75139, 1, 200
https://www.anz.co.nz/institutional/trade-supply-chain/, 01:18:55 09/27/2024, 275528, 1, 200
https://www.uniline.co.nz/Document/Detail/16/Info-Advice, 01:18:58 09/27/2024, 40637, 1, 200
https://www.healthpoint.co.nz/public/, 01:19:00 09/27/2024, 30972, 1, 200
https://www.queenstownnz.co.nz/plan/services/event-services/team-building/, 01:19:00 09/27/2024, 281027, 1, 200
https://www.queenstownnz.co.nz/plan/services/event-services/catering/, 01:19:01 09/27/2024, 281181, 1, 200
https://www.westpac.co.nz/rednews/filter?categories[]=community, 01:19:03 09/27/2024, 75913, 1, 200
https://www.westpac.co.nz/rednews/filter?categories[]=money, 01:19:04 09/27/2024, 75908, 1, 200
https://www.healthpoint.co.nz/pharmacy/, 01:19:06 09/27/2024, 57271, 1, 200
https://www.queenstownnz.co.nz/plan/services/event-services/event-management/, 01:19:06 09/27/2024, 283263, 1, 200
https://www.westpac.co.nz/rednews/filter?categories[]=business, 01:19:08 09/27/2024, 77103, 1, 200
https://www.westpac.co.nz/rednews/filter?categories[]=property, 01:19:09 09/27/2024, 76134, 1, 200
https://www.queenstownnz.co.nz/plan/services/event-services/audio-visual-and-equipment-hire/, 01:19:09 09/27/2024, 281442, 1, 200
https://www.westpac.co.nz/home-loans-mortgages/first-home/low-equity-margin-home-loans-explained/, 01:19:11 09/27/2024, 115092, 1, 200
https://www.westpac.co.nz/about-us/legal-information-privacy/home-loan-terms-fees-rates/, 01:19:14 09/27/2024, 95402, 1, 200
